1	0	0	15	3	405	330	打我暴终极	强化雷霆腰带	0	0	1	2023-06-11 20:46:11
1	0	0	15	3	405	330	打我暴终极	圣龙盔	0	0	1	2023-06-11 20:46:11
1	0	0	15	3	405	330	打我暴终极	光芒道靴	0	0	1	2023-06-11 20:46:11
1	0	0	15	3	405	330	打我暴终极	光芒护腕	0	0	1	2023-06-11 20:46:11
1	0	0	15	3	405	330	打我暴终极	屠龙	0	0	1	2023-06-11 20:46:11
1	0	0	4	3	404	329	法师	强化雷霆腰带	1166	1	1	2023-06-11 20:46:16
1	0	0	4	3	404	330	法师	光芒道靴	1167	1	1	2023-06-11 20:46:16
1	0	0	4	3	405	330	法师	光芒护腕	1168	1	1	2023-06-11 20:46:16
1	0	0	4	3	406	330	法师	屠龙	1169	1	1	2023-06-11 20:46:16
1	0	0	4	3	406	329	法师	圣龙盔	1170	1	1	2023-06-11 20:46:21
1	0	0	11	3	330	330	法师	回城卷	790	1	0	2023-06-11 20:46:21
1	0	0	10	ZB	12	11	法师	灵魂项链	1050	1	装备回收	2023-06-11 20:47:06
1	0	0	9	ZB	12	11	法师	金币	10000	23807421	装备回收	2023-06-11 20:47:06
1	0	0	2000	ZB	12	11	法师	元宝	544098	+	装备回收	2023-06-11 20:47:06
1	0	0	10	ZB	12	11	法师	光芒护腕	1168	1	装备回收	2023-06-11 20:47:16
1	0	0	9	ZB	12	11	法师	金币	100000	23907421	装备回收	2023-06-11 20:47:16
1	0	0	2000	ZB	12	11	法师	元宝	544108	+	装备回收	2023-06-11 20:47:16
1	0	0	10	xinghuizb	27	36	法师	雷霆战戒	581	1	QFunction	2023-06-11 20:47:51
1	0	0	9	xinghuizb	27	36	法师	金币	100000	24007421	QFunction	2023-06-11 20:47:51
1	0	0	2000	xinghuizb	27	36	法师	元宝	544118	+	QFunction	2023-06-11 20:47:51
1	0	0	9	xinghuizb	27	36	法师	盟重传送石	1172	1	(商铺购买)	10	元宝	2023-06-11 20:49:16
