; 此 版 本 来 自 润 芒 论 坛 ｗｗｗ.ｒｕｎｍａｎ ｇ.ｃｏｍ

;-----------------------
盟重土城/盟重仓库保管员	0145	9	12	盟重仓库保管员	0	12	0	0	0	0	0
盟重土城/悦来客栈老板	3	330	321	仓库保管	0	12	0	0	0	0	0
盟重土城/张家布衣老板	0149	23	20	张家布衣老板	0	7	0	0	0	0	0
盟重土城/盟重手套店老板	0149	11	18	盟重手套店老板	0	4	0	0	0	0	0
盟重土城/盟重老张头盔店	0149	8	5	盟重老张头盔店	0	5	0	0	0	0	0
盟重土城/盟重铁匠铺老板	0159	5	9	盟重铁匠铺老板	0	0	0	0	0	0	0
盟重土城/罗家铺子老板	0160	5	8	罗家铺子老板	0	1	0	0	0	0	0
盟重土城/盟重戒指店老板	0158	11	16	盟重戒指店老板	0	5	0	0	0	0	0
盟重土城/盟重手镯店老板	0158	16	11	盟重手镯店老板	0	6	0	0	0	0	0
盟重土城/盟重项链店老板	0158	4	21	盟重项链店老板	0	4	0	0	0	0	0
盟重土城/盟重流浪汉	3	346	334	盟重流浪汉	0	3	0	0	0	0	0
盟重土城/盟重屠夫	3	355	329	盟重屠夫	0	11	0	0	0	0	0
盟重土城/盟重药店老板	3	361	335	盟重药店老板	0	1	0	0	0	0	0
盟重土城/盟重书店老板	0161	11	16	盟重书店老板	0	2	0	0	0	0	0
盟重土城/游戏助理	3	339	334	盟重传送石	0	70	0	0	0	0	0
盟重土城/老人		E603	31	191	老人		0	9	0	0	0	0	0
盟重土城/盟重老兵	3	322	321	盟重老兵	0	1	0	0	0	0	0
;-----------------------
沙巴克/沙巴克铁匠铺	0151	3	19	沙巴克铁匠铺	0	0	1	0	0	0	0
沙巴克/沙巴克武器铺	0151	7	14	沙巴克武器铺	0	0	1	0	0	0	0
沙巴克/沙巴克布衣店	0155	13	7	沙巴克布衣店	0	7	1	0	0	0	0
沙巴克/沙巴克头盔店	0155	9	11	沙巴克头盔店	0	5	1	0	0	0	0
沙巴克/沙巴克炼药老板	0153	7	14	沙巴克炼药老板	0	9	1	0	0	0	0
沙巴克/沙巴克药店	0153	14	7	沙巴克药店	0	1	1	0	0	0	0
沙巴克/沙巴克仓库	0152	7	12	沙巴克仓库	0	12	1	0	0	0	0
沙巴克/沙巴克小贩	3	663	304	沙巴克小贩	0	3	1	0	0	0	0
沙巴克/沙巴克手镯店	0154	14	7	沙巴克手镯店	0	6	1	0	0	0	0
沙巴克/沙巴克项链店	0154	3	18	沙巴克项链店	0	6	1	0	0	0	0
沙巴克/沙巴克戒指店	0154	10	15	沙巴克戒指店	0	5	1	0	0	0	0
沙巴克/沙巴克炼武器	0151	12	10	沙巴克炼武器	0	0	1	0	0	0	0
;-----------------------
特殊NPC/特殊商人	0126	10	10	特殊商人	0	9	0	0	0	0	0
特殊NPC/宫殿商人	0152	4	15	宫殿商人	0	9	1	0	0	0	0
特殊NPC/东方商人	0146	4	11	东方商人	0	9	0	0	0	0	0
特殊NPC/神秘老人	2	515	464	神秘老人	0	9	0	0	0	0	0
特殊NPC/踏云尊者	0113	8	8	踏云尊者	0	14	0	0	0	0	0
