地狱雷光	2	1	1509692979	0	0
龙纹剑	2	7	1509627963	0	0
骨玉权杖	2	7	1509627963	0	0
天魔神甲	1	7	1509455350	0	0
圣战宝甲	1	4	1509372730	0	0
法神披风	1	4	1509372730	0	0
霓裳羽衣	1	4	1509372730	0	0
天师长袍	1	4	1509372730	0	0
银蛇	6	1	1509692979	0	0
魔杖	5	1	1509692979	0	0
炼狱	3	1	1509692979	0	0
井中月	2	1	1509692979	0	0
无极棍	1	1	1509692979	0	0
血饮	1	5	1509553381	0	0
魔血项链	1	1	1509692979	0	0
磨血手镯	1	1	1509692979	0	0
魔血戒指	2	1	1509692979	0	0
力量戒指	3	1	1509692979	0	0
紫碧螺	2	1	1509692979	0	0
红宝石戒指	5	1	1509692979	0	0
龙之戒指	4	1	1509692979	0	0
烈火剑法	1	1	1509692979	0	0
召唤神兽	2	1	1509692979	0	0
冰咆哮	2	1	1509692979	0	0
泰坦戒指	2	1	1509692979	0	0
魔法盾	4	1	1509692979	0	0
圣战戒指	1	2	1509671678	0	0
天尊戒指	1	1	1509692979	0	0
地狱雷光	2	1	1509692979	0	0
野蛮冲撞	7	1	1509692979	0	0
半月弯刀	8	1	1509692979	0	0
裁决之杖	0	21	1509349367	0	0
黑铁头盔	1	1	1509692979	0	0
恶魔铃铛	2	1	1509692979	0	0
幽灵手套	6	1	1509692979	0	0
绿色项链	1	1	1509692979	0	0
